price,totalprice,product,quantity,region,discount,profit,CostPrice,Profit,costprice
1712.06,11864.58,Laptop,7,South,0.01,11864.57,8305.206,3559.374,8305.206
1408.52,12042.85,Mouse,9,West,0.05,12042.800000000001,8429.994999999999,3612.8550000000014,8429.994999999999
1488.59,10003.32,Keyboard,7,South,0.04,10003.279999999999,7002.324,3000.996,7002.324
1206.75,5937.21,Tablet,6,North,0.18,5937.03,4156.047,1781.1630000000005,4156.047
329.21,1705.31,Keyboard,7,West,0.26,1705.05,1193.7169999999999,511.5930000000001,1193.7169999999999
1065.83,8952.97,Mouse,10,North,0.16,8952.81,6267.078999999999,2685.8910000000005,6267.078999999999
514.33,1522.42,Phone,4,West,0.26,1522.16,1065.694,456.7260000000001,1065.694
92.24,547.91,Phone,6,North,0.01,547.9,383.537,164.373,383.537
150.55,1096.0,Laptop,8,South,0.09,1095.91,767.1999999999999,328.80000000000007,767.1999999999999
1191.66,2383.32,Tablet,2,North,0.0,2383.32,1668.324,714.9960000000001,1668.324
822.86,1645.72,Monitor,2,North,0.0,1645.72,1152.004,493.7160000000001,1152.004
698.35,2541.99,Monitor,4,South,0.09,2541.8999999999996,1779.3929999999998,762.597,1779.3929999999998
504.89,2019.56,Monitor,5,North,0.2,2019.36,1413.6919999999998,605.8680000000002,1413.6919999999998
858.7,2138.16,Laptop,3,North,0.17,2137.99,1496.7119999999998,641.4480000000001,1496.7119999999998
1874.71,7686.31,Tablet,5,South,0.18,7686.13,5380.417,2305.893,5380.417
76.38,66.45,Tablet,1,South,0.13,66.32000000000001,46.515,19.935000000000002,46.515
1219.45,9999.49,Laptop,10,South,0.18,9999.31,6999.642999999999,2999.8470000000007,6999.642999999999
392.34,3142.64,Keyboard,9,North,0.11,3142.5299999999997,2199.848,942.7919999999999,2199.848
247.48,623.65,Mouse,3,East,0.16,623.49,436.55499999999995,187.09500000000003,436.55499999999995
1807.41,8133.35,Monitor,6,East,0.25,8133.1,5693.345,2440.005,5693.345
617.69,2816.67,Monitor,6,North,0.24,2816.4300000000003,1971.6689999999999,845.0010000000002,1971.6689999999999
1816.76,4741.74,Headphones,3,West,0.13,4741.61,3319.218,1422.522,3319.218
900.14,6913.08,Laptop,8,South,0.04,6913.04,4839.156,2073.924,4839.156
519.28,4621.59,Tablet,10,South,0.11,4621.4800000000005,3235.113,1386.4770000000003,3235.113
859.92,6810.57,Headphones,9,East,0.12,6810.45,4767.398999999999,2043.1710000000003,4767.398999999999
684.5,4928.4,Laptop,9,South,0.2,4928.2,3449.8799999999997,1478.52,3449.8799999999997
536.67,1320.21,Laptop,3,East,0.18,1320.03,924.1469999999999,396.0630000000001,924.1469999999999
1326.44,8170.87,Headphones,7,East,0.12,8170.75,5719.6089999999995,2451.2610000000004,5719.6089999999995
958.04,1666.99,Laptop,2,East,0.13,1666.86,1166.893,500.097,1166.893
333.19,2908.75,Laptop,9,West,0.03,2908.72,2036.1249999999998,872.6250000000002,2036.1249999999998
343.0,528.22,Monitor,2,West,0.23,527.99,369.754,158.466,369.754
